attribute,mean,max,min
tertiary alcohol,0.06801470588235294,1.0,0.0
pubchem_f494,0.1642156862745098,1.0,0.0
pattern_c43,0.025122549019607844,1.0,0.0
peptide,0.03860294117647059,1.0,0.0
pubchem_f443,0.20772058823529413,1.0,0.0
pubchem_f419,0.2267156862745098,1.0,0.0
pubchem_f456,0.014093137254901961,1.0,0.0
pattern_c342,0.014093137254901961,1.0,0.0
pubchem_f735,0.06678921568627451,1.0,0.0
aza_aromatic,0.1954656862745098,1.0,0.0
maccs_k065,0.1954656862745098,1.0,0.0
posionazable,0.16789215686274508,1.0,0.0
pubchem_f705,0.39276960784313725,1.0,0.0
phenolether_para_subs,0.07230392156862746,1.0,0.0
maccs_k105,0.4730392156862745,1.0,0.0
pubchem_f531,0.16911764705882354,1.0,0.0
pubchem_f397,0.1875,1.0,0.0
hetero_non_basic,0.14522058823529413,1.0,0.0
spiro_compound,0.05821078431372549,1.0,0.0
pubchem_f432,0.16053921568627452,1.0,0.0
pattern_c91,0.10845588235294118,1.0,0.0
pubchem_f834,0.012867647058823529,1.0,0.0
pubchem_f771,0.012867647058823529,1.0,0.0
pubchem_f539,0.20404411764705882,1.0,0.0
pubchem_f001,0.9632352941176471,1.0,0.0
pubchem_f295,0.08394607843137254,1.0,0.0
maccs_k034,0.06495098039215687,1.0,0.0
maccs_k056,0.014705882352941176,1.0,0.0
pubchem_f654,0.06862745098039216,1.0,0.0
pattern_c21,0.06862745098039216,1.0,0.0
maccs_k089,0.37683823529411764,1.0,0.0
dialkylether,0.0784313725490196,1.0,0.0
terminal_cc_bond,0.06433823529411764,1.0,0.0
pubchem_f396,0.026348039215686275,1.0,0.0
maccs_k103,0.08517156862745098,1.0,0.0
pubchem_f038,0.08517156862745098,1.0,0.0
pubchem_f567,0.21262254901960784,1.0,0.0
pubchem_f424,0.028799019607843136,1.0,0.0
pubchem_f207,0.08333333333333333,1.0,0.0
tertiary aliph amine,0.1133578431372549,1.0,0.0
pubchem_f777,0.22977941176470587,1.0,0.0
aryl halide,0.09129901960784313,1.0,0.0
pubchem_f358,0.14583333333333334,1.0,0.0
pubchem_f741,0.06740196078431372,1.0,0.0
pattern_c95,0.1053921568627451,1.0,0.0
pattern_c29,0.15379901960784315,1.0,0.0
maccs_k094,0.08884803921568628,1.0,0.0
maccs_k142,0.3235294117647059,1.0,0.0
pubchem_f016,0.3235294117647059,1.0,0.0
pubchem_f626,0.0704656862745098,1.0,0.0
pattern_c64,0.17401960784313725,1.0,0.0
pubchem_f366,0.45526960784313725,1.0,0.0
maccs_322_018,0.06556372549019608,1.0,0.0
pubchem_f759,0.09252450980392157,1.0,0.0
phenolether_ortho_subs,0.07107843137254902,1.0,0.0
pubchem_f387,0.10110294117647059,1.0,0.0
pubchem_f715,0.14767156862745098,1.0,0.0
urea,0.004901960784313725,1.0,0.0
pattern_c22,0.004901960784313725,1.0,0.0
pubchem_f540,0.1568627450980392,1.0,0.0
pubchem_f524,0.17830882352941177,1.0,0.0
secondary carboxamide,0.13112745098039216,1.0,0.0
pattern_c19,0.13112745098039216,1.0,0.0
pubchem_f541,0.4209558823529412,1.0,0.0
pubchem_f359,0.19117647058823528,1.0,0.0
pubchem_f592,0.07169117647058823,1.0,0.0
pubchem_f402,0.015931372549019607,1.0,0.0
pubchem_f624,0.14583333333333334,1.0,0.0
maccs_k087,0.09375,1.0,0.0
pattern_c61,0.18259803921568626,1.0,0.0
pattern_c48,0.40441176470588236,1.0,0.0
pubchem_f615,0.40441176470588236,1.0,0.0
pubchem_f364,0.028186274509803922,1.0,0.0
pubchem_f711,0.65625,1.0,0.0
pubchem_f262,0.03982843137254902,1.0,0.0
pubchem_f660,0.19669117647058823,1.0,0.0
pubchem_f343,0.08088235294117647,1.0,0.0
pubchem_f551,0.07291666666666667,1.0,0.0
pubchem_f515,0.02022058823529412,1.0,0.0
pubchem_f388,0.18137254901960784,1.0,0.0
pubchem_f576,0.07598039215686274,1.0,0.0
pattern_c63,0.1636029411764706,1.0,0.0
maccs_k042,0.0508578431372549,1.0,0.0
pubchem_f288,0.0508578431372549,1.0,0.0
pubchem_f024,0.0508578431372549,1.0,0.0
pubchem_f025,0.031862745098039214,1.0,0.0
pubchem_f455,0.018995098039215685,1.0,0.0
maccs_322_060,0.4172794117647059,1.0,0.0
pubchem_f404,0.17769607843137256,1.0,0.0
maccs_k037,0.03431372549019608,1.0,0.0
maccs_k080,0.15931372549019607,1.0,0.0
1A2,0.0,0.0,0.0
